Referencia Interna,Titulo,Descripción web,Inventario real,Aliado,Imagen,ID e-kommers,Precio,Cuotas,Peso,Enviable,Digital
0001-T,Asus Vivobook go 15,"El ASUS Vivobook Go 15 es un portátil ligero y delgado, ideal para la productividad diaria y el entretenimiento gracias a su diseño portátil. Ofrece una experiencia visual inmersiva con su pantalla Full HD de 15.6 pulgadas, disponible en versión OLED con colores vibrantes y negros profundos . Está potenciado por procesadores AMD Ryzen de hasta 4 núcleos y gráficos Radeon, que brindan un rendimiento eficiente para tareas cotidianas . Cuenta con 8GB o 16GB de memoria RAM LPDDR5 y un rápido almacenamiento SSD de 512GB para una respuesta ágil del sistema . Su conectividad incluye puertos USB-C, USB-A y HDMI 1.4, además de Wi-Fi 6E y Bluetooth 5.3 . Con un peso de aproximadamente 1.63 kg y un chasis con certificación militar MIL-STD-810H, es resistente y fácil de transportar .",12,Compurama,https://imgur.com/a/TOqdKZL,0001-T,"649,6",3,,TRUE,FALSE
0002-T,Asus Vivobook go 14,"El ASUS Vivobook Go 14 es un portátil ligero y compacto diseñado para la productividad diaria y el entretenimiento donde quiera que vayas . Su diseño delgado y elegante, con un peso de aproximadamente 1.3 kg, facilita llevarlo a clase, la oficina o un café . Cuenta con una bisagra de 180° que permite compartir contenido fácilmente con quienes te rodean . Además, ha sido sometido a pruebas de durabilidad que cumplen con el estándar militar estadounidense MIL-STD-810H, garantizando su resistencia en el día a día",2, ,https://imgur.com/a/BzjHazZ,0002-T,"719,2",3,,TRUE,FALSE
0003-T,Dell Inspiron 15 3250,"La Dell Inspiron 15 3000 es una laptop confiable y funcional, ideal para estudiantes, trabajo remoto y el uso diario en el hogar. Con su pantalla de 15.6 pulgadas, ofrece una experiencia visual cómoda para navegar por internet, ver películas, realizar videollamadas y tareas de productividad como editar documentos y hojas de cálculo . Su diseño práctico y su rendimiento equilibrado la convierten en una herramienta accesible para las tareas cotidianas .

Características Principales:

Procesador: AMD Ryzen 3 3250U (2.6 GHz, hasta 3.5 GHz, 2 núcleos, 4 hilos) . Este procesador ofrece un rendimiento sólido para multitarea básica y aplicaciones de oficina .

Pantalla: Pantalla de 15.6 pulgadas. Dependiendo de la configuración, puede ser FHD (1920 x 1080) con tecnología WVA y antirreflejo, o HD (1366 x 768) . La versión FHD ofrece colores vivos y buenos ángulos de visión .

Memoria y Almacenamiento:

RAM: Generalmente 8GB DDR4 (ampliable en algunos modelos) .

Almacenamiento: Ofrece varias opciones, incluyendo SSD de 256GB para una mayor rapidez, o configuraciones con disco duro HDD de 1TB para maximizar la capacidad .

Gráficos: Integrados AMD Radeon Vega 3, suficientes para reproducción de video y tareas cotidianas .

Batería: Batería de 3 celdas y 41 Wh que ofrece una autonomía aceptable para un día de trabajo o estudio . Cuenta con tecnología ExpressCharge para cargar rápidamente hasta el 80% en 60 minutos .

Conectividad y Puertos:

Puertos: 1 x USB 2.0, 2 x USB 3.2 Gen 1, 1 x HDMI 1.4, 1 x conector de audio, 1 x lector de tarjetas SD y 1 x puerto Ethernet RJ45 .

Inalámbrico: Wi-Fi 5 (802.11ac) y Bluetooth .

Diseño y Características Adicionales:

Diseño: Acabado con aspecto metálico en colores como Plata o Negro Carbón .

Teclado: Teclado de tamaño completo con teclas de gran tamaño y touchpad amplio. Incluye teclado numérico .

Privacidad: Objetivo de privacidad física para la cámara web en algunos modelos .

Seguridad: Lector de huella digital opcional .

Sistema Operativo: Windows 10 o Windows 11, dependiendo de la versión .",1,Compurama,https://imgur.com/a/CxTwAgl,0003-T,"788,8",3,,TRUE,FALSE
0004-T,Dell Inspiron 15 3540,"La Dell Inspiron 15 3540 es una laptop potente y versátil diseñada para usuarios que exigen rendimiento sin sacrificar portabilidad. Equipada con un procesador Intel Core i7 de 12ª generación, este equipo ofrece la potencia necesaria para manejar multitarea avanzada, edición de contenido, aplicaciones profesionales y entretenimiento fluido, todo en un elegante chasis delgado y ligero.",1,Compurama,https://imgur.com/a/PtoXIRN,0004-T,"1154,2",3,,TRUE,FALSE
0005-T,HP 15-fd0130wm,"La HP 15-fd0130wm es una laptop versátil y moderna, ideal para estudiantes, profesionales y usuarios domésticos que buscan un equipo confiable para el día a día. Su diseño delgado y elegante en color azul ""Moonlight Blue"" la hace atractiva y fácil de transportar . Destaca por su pantalla táctil que permite una interacción más intuitiva, ya sea para navegar, trabajar o disfrutar de contenido multimedia . Equipada con un eficiente procesador Intel y una generosa memoria RAM, ofrece un rendimiento fluido para multitarea, aplicaciones de oficina, streaming y estudio .

Características Principales:

Procesador: Intel Core i3-N305 (8 núcleos, 8 hilos, velocidad turbo máxima de hasta 3.8 GHz). Ofrece un rendimiento eficiente y receptivo para las tareas cotidianas .

Pantalla: Pantalla táctil (Touchscreen) IPS de 15.6 pulgadas con resolución Full HD (1920 x 1080 píxeles). Los paneles IPS ofrecen colores precisos y amplios ángulos de visión .

Memoria RAM: Disponible en configuraciones de 8 GB  o 16 GB  de RAM DDR4. Proporciona una capacidad ágil para mantener múltiples aplicaciones y pestañas del navegador abiertas sin problemas de rendimiento .

Almacenamiento: Unidad de estado sólido (SSD) que varía según la configuración: 256 GB , 512 GB  o 1 TB . Garantiza un arranque rápido del sistema, apertura inmediata de programas y una mayor capacidad de respuesta general comparada con los discos duros tradicionales.

Gráficos: Gráficos integrados Intel UHD Graphics, suficientes para reproducción de video en alta definición y tareas cotidianas .

Sistema Operativo: Viene con Windows 11 Home  o Windows 11 Pro  preinstalado. Incluye una tecla dedicada para acceder rápidamente al asistente de IA Copilot, mejorando la productividad .

Conectividad y Puertos:

Puertos: 1 x USB-C, 2 x USB-A, 1 x HDMI 1.4b, 1 x conector de audio (combinado de auriculares/micrófono) y 1 x entrada de alimentación .

Inalámbrico: Wi-Fi 6 (802.11ax) y Bluetooth 5.3 o 5.4, ofreciendo conexiones rápidas, estables y modernas .

Diseño y Características Adicionales:

Cámara: Cámara frontal HP True Vision HD con obturador de privacidad para mayor seguridad .

Batería: Batería de larga duración (hasta 10 horas) con soporte para carga rápida HP Fast Charge .

Dimensiones y Peso: Aprox. 35.99 x 23.6 x 1.85 cm y un peso de alrededor de 1.6 kg, lo que la hace fácilmente transportable .

Teclado: Incluye teclado numérico completo para facilitar la entrada de datos .",1,Compurama,https://imgur.com/a/ns5ov2A,0005-T,"765,6",3,,TRUE,FALSE
0007-T,hp 15-fc0047wm,"La HP 15-fc0047wm es una laptop potente y versátil, ideal para usuarios que necesitan rendimiento para multitarea, trabajo profesional, estudio y entretenimiento. Equipada con un procesador AMD Ryzen 7 de última generación y una generosa memoria RAM de 16 GB, ofrece una experiencia fluida incluso con aplicaciones exigentes. Su pantalla táctil Full HD con tecnología IPS brinda imágenes nítidas y colores precisos, mientras que su diseño delgado y elegante en color plata (""Natural Silver"") la hace fácilmente transportable .

Características Principales:

Procesador: AMD Ryzen 7 7730U (8 núcleos, 16 hilos, velocidad base de 2.0 GHz y turbo máxima de hasta 4.5 GHz). Ofrece un rendimiento excepcional para tareas intensivas y multitarea avanzada .

Pantalla: Pantalla táctil (Touchscreen) IPS de 15.6 pulgadas con resolución Full HD (1920 x 1080 píxeles) y 300 nits de brillo. La tecnología IPS garantiza colores vibrantes y amplios ángulos de visión .

Memoria RAM: 16 GB DDR4. Proporciona una capacidad superior para mantener múltiples aplicaciones abiertas simultáneamente sin perder velocidad .

Almacenamiento: Unidad de estado sólido (SSD) M.2 NVMe PCIe de 512 GB. Ofrece arranque instantáneo del sistema, carga rápida de programas y transferencia de archivos ultrarrápida .

Gráficos: Gráficos integrados AMD Radeon. Suficientes para reproducción de video en alta definición y tareas cotidianas. Incluye tecnología AMD FreeSync para una experiencia de visualización fluida .

Sistema Operativo: Windows 11 Home preinstalado .

Conectividad y Puertos:

Puertos: 1 x USB 3.2 Tipo-C, 2 x USB 3.2 Tipo-A, 1 x HDMI, 1 x conector de audio de 3.5 mm .

Inalámbrico: Wi-Fi y Bluetooth . Según información de foros técnicos, el modelo incluye una tarjeta inalámbrica Realtek .

Batería: Batería de 3 celdas y 41 WHr, con una duración de hasta 10 horas y 45 minutos .

Diseño y Características Adicionales:

Cámara: Cámara frontal HP True Vision HD .

Teclado: Incluye teclado numérico completo para facilitar la entrada de datos .

Dimensiones y Peso: Diseño delgado y ligero, fácil de transportar .",2,Compurama,https://imgur.com/a/3tg0pOU,0007-T,1218,3,,TRUE,FALSE
0008-T,hp 15-fc0082wm,"La HP 15-fc0082wm es una laptop de gama de entrada práctica y accesible, diseñada para estudiantes, tareas escolares, navegación web y uso doméstico básico. Su distintivo color Azul Luz de Luna (Moonlight Blue) y su diseño ligero de aproximadamente 1.6 kg la convierten en una compañera ideal para llevar a clase o mover por casa. Además, incorpora materiales sostenibles en su fabricación, como plásticos reciclados.

Características Principales:

Procesador: Intel® N200 (4 núcleos, hasta 3.7 GHz con Turbo Boost). Ofrece el rendimiento necesario para tareas cotidianas como editar documentos, videollamadas y navegación web .

Memoria RAM: 4 GB DDR4-3200 MHz. Capacidad suficiente para un uso básico y fluido del sistema operativo y aplicaciones sencillas .

Almacenamiento: 128 GB SSD PCIe® NVMe™ M.2. Unidad de estado sólido que garantiza un arranque rápido del sistema y una apertura ágil de programas .

Pantalla: Pantalla de 15.6 pulgadas con resolución HD (1366 x 768). Cuenta con diseño microborde y acabado antirreflejante de 250 nits para una experiencia visual cómoda en interiores .

Gráficos: Intel® UHD Graphics (integrados), adecuados para reproducción de video y tareas sin exigencia gráfica .

Sistema Operativo: Windows 11 Home en modo S (optimizado para seguridad y rendimiento, con posibilidad de desactivar el modo S si se requiere) .

Conectividad y Puertos:

Puertos: 1 x USB-C (solo datos), 2 x USB-A, 1 x HDMI 1.4b, 1 x combo de auriculares/micrófono .

Inalámbrico: Wi-Fi 6 y Bluetooth® 5.3 para una conexión rápida y moderna .

Batería: Hasta 10 horas y 45 minutos de autonomía. Soporta carga rápida, alcanzando el 50% de carga en aproximadamente 45 minutos .

Diseño y Características Adicionales:

Cámara Web: HP True Vision 720p HD con reducción de ruido temporal y micrófonos digitales integrados para mejorar la calidad de las videollamadas .

Diseño Sostenible: Fabricada en parte con plásticos recuperados del océano y plásticos reciclados posconsumo .

Dimensiones y Peso: Aproximadamente 1.6 kg, fácil de transportar .",1,Compurama,https://imgur.com/a/hPvXanT,0008-T,638,3,,TRUE,FALSE
0009-T,Lenovo ideapad 1 15,"La Lenovo IdeaPad 1 15 es una laptop sencilla, liviana y funcional, diseñada para estudiantes, trabajo remoto y uso diario en el hogar. Equipada con un procesador Intel Core i3 de 12va generación, ofrece el equilibrio perfecto entre rendimiento y eficiencia para tareas cotidianas como navegación web, edición de documentos, videollamadas y reproducción de contenido multimedia. Su diseño delgado y portátil, junto con una generosa pantalla de 15.6 pulgadas, la convierten en una herramienta práctica para acompañarte durante todo el día.

Características Principales:

Procesador: Intel Core i3-1215U de 12ª Generación (6 núcleos: 2 de rendimiento y 4 de eficiencia, velocidad turbo máxima de hasta 4.4 GHz). Ofrece un rendimiento ágil y eficiente para multitarea básica y aplicaciones de oficina .

Pantalla: Pantalla de 15.6 pulgadas con resolución HD (1366 x 768). Cuenta con tecnología antirreflejante y biseles delgados en los laterales para una experiencia visual más inmersiva .

Memoria RAM: 8 GB DDR4 (soldada en la placa, no ampliable). Capacidad suficiente para mantener múltiples aplicaciones y pestañas del navegador abiertas sin problemas de rendimiento .

Almacenamiento: Unidad de estado sólido (SSD) M.2 PCIe NVMe de 256 GB. Ofrece arranque instantáneo del sistema, carga rápida de programas y una mayor capacidad de respuesta en comparación con los discos duros tradicionales .

Gráficos: Gráficos integrados Intel UHD Graphics, ideales para reproducción de video en alta definición y tareas cotidianas sin exigencia gráfica .

Sistema Operativo: Viene con Windows 11 Home preinstalado en modo S (optimizado para seguridad y rendimiento, con posibilidad de desactivar el modo S gratuitamente) .

Conectividad y Puertos:

Puertos: 1 x USB 3.2 Gen 1 Tipo-C, 2 x USB 3.2 Gen 1 Tipo-A, 1 x HDMI, 1 x conector de audio de 3.5 mm, 1 x lector de tarjetas SD .

Inalámbrico: Wi-Fi 6 (802.11ax) y Bluetooth 5.1 o 5.2, para conexiones rápidas y estables .

Batería: Batería integrada de 2 celdas y 42 Wh, con una autonomía que puede alcanzar hasta 8-10 horas según el uso .

Diseño y Características Adicionales:

Cámara: Cámara frontal de 720p con obturador de privacidad físico (TrueBlock Privacy Shutter) para mayor seguridad .

Audio: Altavoces estéreo con tecnología de audio de alta definición (HD Audio) .

Teclado: Teclado de tamaño completo con teclas de 1.5 mm de recorrido para una escritura cómoda. Incluye teclado numérico en algunos modelos .

Dimensiones y Peso: Diseño delgado con un peso aproximado de 1.6 kg, fácil de transportar en mochilas o maletines .

Colores: Disponible en varios colores según la región, como Gris Nube o Azul.",1,Compurama,https://imgur.com/a/uTlf6as,0009-T,"614,8",3,,TRUE,FALSE
0010-T,TP-LINK AX1500 AX12,,10,Compurama,https://imgur.com/a/W4cq9vj,0010-T,87,3,,TRUE,FALSE
0011-T,Mercusys AC10,,0,Compurama,https://imgur.com/a/KdoB8Yj,0011-T,"46,4",3,,TRUE,FALSE
